batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
106,CrackIVF,16,1680,16,1428,100,10,42,99999,2724.2990910308436,9.682244010036811,1.5540260064881295,8.128218003548682,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.5506560157518834,1,0.875,0.83125,0.755
107,CrackIVF,16,1696,16,1428,100,10,42,99999,2737.1974150300957,12.89832399925217,1.6403050103690475,11.258018988883123,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.6365750052500516,1,1.0,0.89375,0.840625
108,CrackIVF,16,1712,16,1428,100,10,42,99999,2746.9903280434664,9.792913013370708,1.5303660184144974,8.26254699495621,0.0,0.00014997203834354877,0.0,0.0,0.0,0.0,1.5271360171027482,1,0.875,0.9,0.855
109,CrackIVF,16,1728,16,1428,100,10,42,99999,2759.393914049724,12.403586006257683,1.530515990452841,10.873070015804842,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.5269060095306486,1,1.0,0.8875,0.851875
110,CrackIVF,16,1744,16,1428,100,10,42,99999,2769.880935054971,10.487021005246788,1.498836005339399,8.98818499990739,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.4955349906813353,1,0.875,0.86875,0.83625
111,CrackIVF,16,1760,16,1428,100,10,42,99999,2780.209677061066,10.328742006095126,1.5588759852107614,8.769866020884365,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,1.5554649871774018,1,0.875,0.875,0.865
112,CrackIVF,16,1776,16,1428,100,10,42,99999,2789.057293062797,8.847616001730785,1.5962659963406622,7.2513500053901225,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.5928059874568135,1,0.9375,0.8375,0.80125
113,CrackIVF,16,1792,16,1428,100,10,42,99999,2800.0979230564553,11.040629993658513,1.501526014180854,9.539103979477659,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.4981459826231003,1,0.75,0.85,0.815
114,CrackIVF,16,1808,16,1428,100,10,42,99999,2813.1339670799207,13.036044023465365,1.553015026729554,11.483028996735811,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.549765991512686,1,1.0,0.8875,0.87875
115,CrackIVF,16,1824,16,1428,100,10,42,99999,2821.5195150696672,8.385547989746556,1.4197470154613256,6.96580097428523,0.0,0.0001309963408857584,0.0,0.0,0.0,0.0,1.4160569990053773,1,0.875,0.9125,0.863125
116,CrackIVF,16,1840,16,1428,100,10,42,99999,2833.2309230754618,11.71140800579451,1.5402160061057657,10.171191999688745,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.537096017273143,1,0.875,0.84375,0.8075
117,CrackIVF,16,1856,16,1428,100,10,42,99999,2844.894942070823,11.664018995361403,1.3284469896461815,10.335572005715221,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.3257269747555256,1,0.9375,0.88125,0.843125
118,CrackIVF,16,1872,16,1428,100,10,42,99999,2856.773720064666,11.87877799384296,1.4873759937472641,10.391402000095695,0.0,0.0001709850039333105,0.0,0.0,0.0,0.0,1.484334992710501,1,1.0,0.88125,0.833125
119,CrackIVF,16,1888,16,1428,100,10,42,99999,2874.485012056539,17.711291991872713,1.6029560065362602,16.108335985336453,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.5996349975466728,1,0.9375,0.9375,0.898125
120,CrackIVF,16,1904,16,1428,100,10,42,99999,2883.9685360435396,9.483523987000808,1.4538760005962104,8.029647986404598,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.4502360136248171,1,0.8125,0.8875,0.868125
121,CrackIVF,16,1920,16,1428,100,10,42,99999,2894.116818031762,10.148281988222152,1.571995991980657,8.576285996241495,0.0,0.00010998337529599667,0.0,0.0,0.0,0.0,1.5689659921918064,1,0.9375,0.9375,0.89
122,CrackIVF,16,1936,16,1428,100,10,42,99999,2905.5081460101064,11.391327978344634,1.5448549820575863,9.846472996287048,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.5406749735120684,1,1.0,0.9,0.808125
123,CrackIVF,16,1952,16,1428,100,10,42,99999,2916.1192470346577,10.611101024551317,1.5566960209980607,9.054405003553256,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.553506008349359,1,0.9375,0.93125,0.82
124,CrackIVF,16,1968,16,1428,100,10,42,99999,2928.6911130475346,12.571866012876853,1.389927027048543,11.18193898582831,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.3863159983884543,1,0.9375,0.84375,0.8325
125,CrackIVF,16,1984,16,1428,100,10,42,99999,2941.3498490466736,12.658735999139026,1.3880159822292626,11.270720016909763,0.0,0.0001100124791264534,0.0,0.0,0.0,0.0,1.3849669776391238,1,0.875,0.84375,0.78
126,CrackIVF,16,2000,16,1428,100,10,42,99999,2952.15539005585,10.805541009176522,1.3878869940526783,9.417654015123844,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.3853069976903498,1,0.875,0.91875,0.8825
127,CrackIVF,16,2016,16,1428,100,10,42,99999,2961.324055038858,9.168664983008057,1.6328159836120903,7.5358489993959665,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.6297849942930043,1,0.875,0.88125,0.808125
128,CrackIVF,16,2032,16,1428,100,10,42,99999,2971.264508058084,9.94045301922597,1.5369760221801698,8.4034769970458,0.0,0.0001100124791264534,0.0,0.0,0.0,0.0,1.534256007289514,1,0.8125,0.88125,0.80625
129,CrackIVF,16,2048,16,1428,100,10,42,99999,2980.4778120596893,9.213304001605138,1.3692860084120184,7.84401799319312,0.0,0.00010998337529599667,0.0,0.0,0.0,0.0,1.3665159931406379,1,0.9375,0.875,0.849375
130,CrackIVF,16,2064,16,1428,100,10,42,99999,2989.3336680543143,8.855855994625017,1.330286992015317,7.5255690026097,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.327557023614645,1,0.875,0.88125,0.846875
131,CrackIVF,16,2080,16,1428,100,10,42,99999,2998.3514330524486,9.017764998134226,1.3295160024426877,7.688248995691538,0.0,0.00011100200936198235,0.0,0.0,0.0,0.0,1.3265459856484085,1,1.0,0.88125,0.821875
132,CrackIVF,16,2096,16,1428,100,10,42,99999,3010.6147490732837,12.263316020835191,1.5438560221809894,10.719459998654202,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.540685974759981,1,0.9375,0.9375,0.854375
