algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
faiss-ivf,"FaissIVF(n_list=256, n_probe=80)",10,0.99999,1.0,1.0,0.08935401149463017,45.22594533160916,23.357510566711426,27.71071195602417,28.2047438621521,30.156486034393332,314756.9804,4.7135539054870605,10.0,705836.0,15606.88217404003,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=100)",10,0.9999,1.0,1.0,0.08935413531137715,78.42866788846707,12.89379596710205,14.192354679107666,15.511052608489996,23.231950283050576,199328.7197,11.267282009124756,10.0,700224.0,8928.16388257141,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=5)",10,0.81114,0.8998799999999999,0.9998799999999999,0.09026467066817745,1355.266202456473,0.7467269897460938,1.1277437210083003,1.2936782836914067,1.6310315132141133,11176.487,11.267282009124756,10.0,700224.0,516.668975239563,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=80)",10,0.99311,0.99939,1.0,0.08937380643491456,342.3043740692234,2.9239654541015625,3.650200366973877,3.8156580924987793,3.991613388061525,43820.0907,105.08828806877136,10.0,701496.0,2049.3340229948044,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=60)",10,0.9867800000000001,0.99842,1.0,0.08939400378843369,434.4613597366978,2.29799747467041,2.953565120697021,3.110897541046143,3.251098871231084,33637.83,105.08828806877136,10.0,701496.0,1614.6338086893084,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=256, n_probe=50)",10,0.9998100000000001,1.0,1.0,0.08935466149835974,56.57158809875787,18.413066864013672,20.314371585845947,20.85256814956665,23.71719884872437,200138.116,4.7135539054870605,10.0,705836.0,12476.863806047153,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=128, n_probe=50)",10,0.99999,1.0,1.0,0.08935401149463017,40.261337152844284,25.114774703979492,27.463221549987793,28.116488456726074,29.557323217392085,392351.9054,2.8346168994903564,10.0,706024.0,17536.02959881134,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=32, n_probe=10)",10,0.99947,0.99996,1.0,0.0893558008662822,36.33709631244623,33.13934803009033,38.996005058288574,43.51875066757208,56.018618583679206,353186.4114,1.5281593799591064,10.0,717156.0,19736.194489331247,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=128, n_probe=100)",10,1.0,1.0,1.0,0.08935400220785608,26.332727509992296,38.306355476379395,39.44587707519531,40.144529342651374,42.801039457321195,735171.0667,2.8346168994903564,10.0,706024.0,26811.654802264216,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=64, n_probe=60)",10,1.0,1.0,1.0,0.08935400220785608,21.07371092350536,47.586917877197266,49.272072315216064,49.69887018203735,52.610237360000625,904208.5942,2.0550167560577393,10.0,720624.0,34195.401209391406,sift-128-euclidean
